Game,Country,Number of Users,Average Rating
Alhambra,Austria,17,7.88
Alhambra,Belgium,45,7.24
Alhambra,Brazil,33,7.95
Alhambra,Brunei,1,7
Alhambra,Bulgaria,5,7.8
Alhambra,Canada,218,7.65
Alhambra,Chile,12,7.17
Alhambra,China,9,7.74
Alhambra,Colombia,2,7.5
Alhambra,Croatia,9,7.63
Alhambra,Cyprus,1,8
Alhambra,Czech Republic,17,6.94
Alhambra,Denmark,14,7
Alhambra,England,15,7.01
Alhambra,Estonia,6,6.53
Alhambra,Finland,39,6.96
Alhambra,France,26,7.06
Alhambra,Germany,180,7.23
Alhambra,Greece,42,7.71
Alhambra,Guatemala,1,7
Alhambra,Hungary,28,7.44
Alhambra,Iceland,2,8.25
Alhambra,India,2,7
Alhambra,Indonesia,3,7.5
Alhambra,Ireland,10,7.38
Alhambra,Israel,7,7.13
Alhambra,Italy,55,7.48
Alhambra,Japan,29,7.27
Alhambra,Latvia,4,8
Alhambra,Lithuania,17,7.02
Alhambra,Luxembourg,3,6.33
Alhambra,Malaysia,4,7.38
Alhambra,Mexico,10,8
Alhambra,Moldova,1,8
Alhambra,Netherlands,43,7.72
Alhambra,New Zealand,26,7.36
Alhambra,Norway,20,7.2
Alhambra,Philippines,4,6.25
Alhambra,Poland,38,7.83
Alhambra,Portugal,22,7.68
Alhambra,Qatar,1,4
Alhambra,Romania,10,8.2
Alhambra,Russia,7,7
Alhambra,Saudi Arabia,1,9
Alhambra,Republic of Serbia,5,8.4
Alhambra,Slovakia,3,7.73
Alhambra,Slovenia,4,8.88
Alhambra,South Africa,6,7
Alhambra,South Korea,26,7.96
Alhambra,Spain,112,7.32
Alhambra,Sweden,35,7.26
Alhambra,Switzerland,12,7.25
Alhambra,Taiwan,13,7.98
Alhambra,Thailand,6,8.3
Alhambra,Uganda,1,6.5
Alhambra,Ukraine,1,7
Alhambra,USA,1101,7.55
Alhambra,Venezuela,1,10
Android: Netrunner,Argentina,8,7.38
Android: Netrunner,Australia,32,7.79
Android: Netrunner,Austria,4,6.25
Android: Netrunner,Belgium,6,9.33
Android: Netrunner,Bolivia,1,8
Android: Netrunner,Brazil,20,8.01
Android: Netrunner,Bulgaria,3,7.67
Android: Netrunner,Canada,109,8.2
Android: Netrunner,Chile,6,7.92
Android: Netrunner,China,13,8
Android: Netrunner,Colombia,2,9
Android: Netrunner,Croatia,1,10
Android: Netrunner,Czech Republic,5,7.4
Android: Netrunner,Denmark,5,8.16
Android: Netrunner,England,4,6.25
Android: Netrunner,Finland,11,8.45
Android: Netrunner,France,11,8.23
Android: Netrunner,Germany,54,8.12
Android: Netrunner,Greece,10,8.39
Android: Netrunner,Guatemala,1,9
Android: Netrunner,Hungary,2,7
Android: Netrunner,Iceland,2,9
Android: Netrunner,Indonesia,2,9
Android: Netrunner,Ireland,2,7
Android: Netrunner,Israel,2,4.5
Android: Netrunner,Italy,19,7.95
Android: Netrunner,Japan,8,7.5
Android: Netrunner,Latvia,3,8
Android: Netrunner,Lithuania,5,8.84
Android: Netrunner,Luxembourg,1,8
Android: Netrunner,Macedonia,1,7
Android: Netrunner,Malaysia,2,8.5
Android: Netrunner,Mexico,5,7.9
Android: Netrunner,Netherlands,10,7.98
Android: Netrunner,New Zealand,6,7.62
Android: Netrunner,Norway,4,7.5
Android: Netrunner,Peru,1,7
Android: Netrunner,Philippines,3,7.33
Android: Netrunner,Poland,24,8.23
Android: Netrunner,Portugal,7,8.41
Android: Netrunner,Qatar,1,4
Android: Netrunner,Romania,4,9.44
Android: Netrunner,Russia,6,7.54
Android: Netrunner,Republic of Serbia,2,7.25
Android: Netrunner,Slovakia,1,9.5
Android: Netrunner,South Africa,3,9
Android: Netrunner,South Korea,13,7.51
Android: Netrunner,Spain,35,7.54
Android: Netrunner,Sweden,15,8.33
Android: Netrunner,Switzerland,5,8
Android: Netrunner,Taiwan,8,8.76
Android: Netrunner,Thailand,1,4
Android: Netrunner,Turkey,1,8.5
Android: Netrunner,Ukraine,2,8.95
Android: Netrunner,USA,540,7.92
Android: Netrunner,Venezuela,1,5
Android: Netrunner,Vietnam,1,9
Apples to Apples,Argentina,1,7
Apples to Apples,Australia,35,6.25
Apples to Apples,Austria,2,6.5
Apples to Apples,Belgium,7,6
Apples to Apples,Brazil,4,6
Apples to Apples,Canada,168,6.73
Apples to Apples,Chile,4,7.15
Apples to Apples,China,3,6
Apples to Apples,Colombia,3,6
Apples to Apples,Denmark,2,6.5
Apples to Apples,England,6,7.58
Apples to Apples,Finland,12,6.68
Apples to Apples,France,4,6.5
Apples to Apples,Germany,39,6.25
Apples to Apples,Greece,1,8
Apples to Apples,Guatemala,1,8
Apples to Apples,Hungary,1,6.5
Apples to Apples,India,2,6.5
Apples to Apples,Ireland,6,7.5
Apples to Apples,Israel,3,5.67
Apples to Apples,Italy,4,7.75
Apples to Apples,Japan,9,5.07
Apples to Apples,Malaysia,4,5.63
Apples to Apples,Mexico,1,6.5
Apples to Apples,Netherlands,6,7.5
Apples to Apples,New Zealand,7,7.07
Apples to Apples,Norway,3,7
Apples to Apples,Philippines,1,6
Apples to Apples,Poland,15,6.27
Apples to Apples,Russia,1,5
Apples to Apples,South Africa,1,5
Apples to Apples,South Korea,6,7
Apples to Apples,Spain,16,7.07
Apples to Apples,Sweden,12,6.83
Apples to Apples,Switzerland,2,7.5
Apples to Apples,Taiwan,3,8
Apples to Apples,USA,1518,6.47
Apples to Apples,Uruguay,1,7
Apples to Apples,Venezuela,1,9
Arkham Horror,Argentina,11,6.55
Arkham Horror,Australia,55,7.13
Arkham Horror,Austria,12,7.58
Arkham Horror,Belarus,1,9
Arkham Horror,Belgium,12,7.29
Arkham Horror,Bolivia,1,9
Arkham Horror,Brazil,27,8.24
Arkham Horror,Bulgaria,1,9
Arkham Horror,Canada,181,7.53
Arkham Horror,Chile,8,7.36
Arkham Horror,China,14,7.57
Arkham Horror,Colombia,1,8
Arkham Horror,Croatia,5,7.8
Arkham Horror,Czech Republic,12,6.38
Arkham Horror,Denmark,14,7.64
Arkham Horror,England,6,8.33
Arkham Horror,Estonia,5,8.3
Arkham Horror,Finland,31,7.41
Arkham Horror,France,18,7.54
Arkham Horror,Germany,104,7.7
Arkham Horror,Greece,23,8.05
Arkham Horror,Hungary,13,7.32
Arkham Horror,Iceland,2,8
Arkham Horror,Indonesia,2,7.6
Arkham Horror,Ireland,6,7.67
Arkham Horror,Israel,6,7.33
Arkham Horror,Italy,42,7.32
Arkham Horror,Japan,5,5.2
Arkham Horror,Lebanon,1,9
Arkham Horror,Lithuania,8,7.25
Arkham Horror,Luxembourg,1,8.2
Arkham Horror,Macedonia,2,8
Arkham Horror,Malaysia,6,6.3
Arkham Horror,Mexico,11,7.55
Arkham Horror,Moldova,1,8
Arkham Horror,Netherlands,16,7.85
Arkham Horror,New Zealand,7,6.76
Arkham Horror,Norway,14,6.36
Arkham Horror,Peru,2,7
Arkham Horror,Philippines,5,7.1
Arkham Horror,Poland,62,7.71
Arkham Horror,Portugal,5,7.82
Arkham Horror,Romania,3,8.9
Arkham Horror,Russia,16,7.19
Arkham Horror,Republic of Serbia,1,8
Arkham Horror,Slovenia,1,8
Arkham Horror,South Korea,18,6.42
Arkham Horror,Spain,115,7.72
Arkham Horror,Sweden,45,6.88
Arkham Horror,Switzerland,7,8.57
Arkham Horror,Taiwan,8,7.6
Arkham Horror,Thailand,2,6
Arkham Horror,Turkey,2,8
Arkham Horror,Ukraine,8,7.58
Arkham Horror,USA,1105,7.4
Arkham Horror,Venezuela,1,7
Arkham Horror,Vietnam,2,8.5
Axis & Allies,Argentina,1,7.5
Axis & Allies,Australia,26,6.6
Axis & Allies,Austria,1,10
Axis & Allies,Belgium,12,6.63
Axis & Allies,Brazil,9,6.83
Axis & Allies,Canada,187,6.85
Axis & Allies,Chile,1,8
Axis & Allies,China,3,7.27
Axis & Allies,Croatia,4,7
Axis & Allies,Czech Republic,1,9
Axis & Allies,Denmark,13,6.54
Axis & Allies,Fiji,1,8
Axis & Allies,Finland,8,6.56
Axis & Allies,France,3,5.33
Axis & Allies,Germany,45,6.68
Axis & Allies,Greece,9,7
Axis & Allies,Hungary,1,8
Axis & Allies,Iceland,2,7
Axis & Allies,India,1,4
Axis & Allies,Ireland,1,9
Axis & Allies,Israel,3,8.33
Axis & Allies,Italy,39,7.18
Axis & Allies,Latvia,1,6
Axis & Allies,Lithuania,1,8
Axis & Allies,Malaysia,3,6.53
Axis & Allies,Mexico,5,6.64
Axis & Allies,Netherlands,20,7.34
Axis & Allies,New Zealand,7,7.04
Axis & Allies,Norway,10,5.7
Axis & Allies,Peru,2,7.25
Axis & Allies,Portugal,4,6.75
Axis & Allies,Qatar,1,7.8
Axis & Allies,Romania,2,8
Axis & Allies,Russia,1,7
Axis & Allies,Slovenia,3,7.33
Axis & Allies,South Africa,1,3
Axis & Allies,South Korea,5,7.2
Axis & Allies,Spain,12,6.96
Axis & Allies,Sweden,25,6.02
Axis & Allies,Switzerland,3,8
Axis & Allies,Thailand,1,9
Axis & Allies,Turkey,1,7
Axis & Allies,Ukraine,1,4
Axis & Allies,USA,968,6.81
Axis & Allies,Venezuela,1,9
Azul,Argentina,7,8.43
Azul,Australia,39,8.18
Azul,Austria,6,8.6
Azul,Belarus,1,6
Azul,Belgium,24,7.88
Azul,Bolivia,1,10
Azul,Brazil,32,8.91
Azul,Bulgaria,1,5
Azul,Canada,94,8.29
Azul,Chile,8,8.44
Azul,China,12,8.27
Azul,Colombia,3,9.5
Azul,Croatia,3,9.33
Azul,Czech Republic,4,9.25
Azul,Denmark,3,7.67
Azul,England,10,7.95
Azul,Estonia,1,9
Azul,Finland,8,7.78
Azul,France,23,8.19
Azul,Germany,91,8.14
Azul,Greece,13,8.71
Azul,Guatemala,1,7.5
Azul,Hungary,10,8.36
Azul,Iceland,1,7
Azul,India,3,9
Azul,Indonesia,2,9
Azul,Iran,2,9.5
Azul,Ireland,5,8.8
Azul,Israel,4,7.13
Azul,Italy,31,8.1
Azul,Japan,17,7.91
Azul,Latvia,4,7.75
Azul,Lithuania,4,8.88
Azul,Malaysia,2,9.25
Azul,Mexico,18,9.15
Azul,Netherlands,25,7.89
Azul,New Zealand,8,7.63
Azul,Norway,8,7.96
Azul,Peru,3,8.67
Azul,Philippines,4,9.5
Azul,Poland,30,8.06
Azul,Portugal,12,8.52
Azul,Romania,6,8.81
Azul,Russia,5,9.2
Azul,Saudi Arabia,1,9
Azul,Republic of Serbia,2,7.75
Azul,Slovakia,1,8
Azul,Slovenia,3,9.33
Azul,South Africa,3,8
Azul,South Korea,6,6.73
Azul,Spain,64,8.3
Azul,Sri Lanka,1,8
Azul,Sweden,17,8.09
Azul,Switzerland,7,7.5
Azul,Taiwan,10,7.78
Azul,Thailand,5,7.3
Azul,Ukraine,3,9.37
Azul,USA,517,8.19
Azul,Uruguay,1,8
Azul,Venezuela,1,6
Azul,Vietnam,1,8.91
Backgammon,Argentina,3,9.17
Backgammon,Australia,35,6.54
Backgammon,Austria,3,9
Backgammon,Belgium,8,6.69
Backgammon,Brazil,18,7.22
Backgammon,Bulgaria,1,10
Backgammon,Canada,113,7.28
Backgammon,Chile,8,6.44
Backgammon,China,2,8.45
Backgammon,Colombia,1,7
Backgammon,Costa Rica,1,7
Backgammon,Czech Republic,1,6.5
Backgammon,Denmark,13,6.38
Backgammon,England,5,6.8
Backgammon,Estonia,4,7.75
Backgammon,Finland,17,6.75
Backgammon,France,11,7.1
Backgammon,Germany,61,6.82
Backgammon,Greece,26,7.17
Backgammon,Guatemala,1,7
Backgammon,Hungary,4,7.13
Backgammon,Iceland,1,8.5
Backgammon,India,1,7
Backgammon,Ireland,1,6
Backgammon,Israel,4,6
Backgammon,Italy,24,7.31
Backgammon,Japan,15,7.21
Backgammon,Latvia,3,6.67
Backgammon,Lithuania,3,6.67
Backgammon,Mexico,5,7.27
Backgammon,Netherlands,21,6.38
Backgammon,New Zealand,13,6.62
Backgammon,Norway,16,6.88
Backgammon,Peru,2,6.25
Backgammon,Poland,12,7.33
Backgammon,Portugal,8,7.37
Backgammon,Romania,5,6.7
Backgammon,Russia,3,6
Backgammon,Saudi Arabia,1,9
Backgammon,Republic of Serbia,2,8
Backgammon,Slovenia,3,5.67
Backgammon,South Africa,2,6.5
Backgammon,South Korea,4,5.75
Backgammon,Spain,32,7.61
Backgammon,Sweden,25,6.44
Backgammon,Switzerland,3,6
Backgammon,Taiwan,2,7.5
Backgammon,Turkey,1,6
Backgammon,USA,630,6.7
Backgammon,Venezuela,1,10
